Python Developer,Applicantz,India (Remote),"About the job

THIS IS A LONG TERM CONTRACT POSITION WITH ONE OF THE LARGEST, GLOBAL, TECHNOLOGY LEADER. Candidate must be present in the Bangalore office for Hybrid work




We are looking for a skilled Python Developer to join our engineering team. The ideal candidate will have strong backend development experience and the ability to build scalable APIs and services using modern frameworks.




Required Skills

Proficiency in Python and frameworks like Django, Flask, or FastAPI
Strong knowledge of SQL and databases (MySQL, PostgreSQL)
Experience with REST API development and third-party integrations
Basic knowledge of Docker and Git
Good analytical thinking and communication skills
Exposure to cloud platforms (AWS, Azure)
Experience with unit testing and CI/CD pipelines




Key Responsibilities

Develop, test, and maintain Python applications and APIs.
Participate in technical discussions and code reviews
Collaborate with product and engineering teams for solution delivery
Write clean, scalable, and well-documented code
Troubleshoot development and production issues
Follow agile practices and contribute to process improvements




Our large, Fortune client is ranked as one of the best companies to work with, in the world. The client fosters progressive culture, creativity, and a Flexible work environment. They use cutting-edge technologies to keep themselves ahead of the curve. Diversity in all aspects is respected. Integrity, experience, honesty, people, humanity, and passion for excellence are some other adjectives that define this global technology leader."
--------------------,--------------------,--------------------,--------------------
Python Developer-Remote/Contract,Applicantz,India (Remote),"About the job

Key Responsibilities:

Design, implement, and maintain automation scripts and frameworks using Python.
Develop and manage infrastructure-as-code (IaC) solutions with Terraform for provisioning, scaling, and managing cloud and on-premise resources.
Collaborate with cross-functional teams to identify opportunities for automation in CI/CD pipelines, infrastructure operations, and configuration management.
Build reusable Python modules and libraries to standardize and optimize automation processes.
Ensure infrastructure code follows best practices for version control, testing, and documentation.
Integrate monitoring, logging, and alerting into automated workflows to improve observability and reliability.
Troubleshoot automation workflows and infrastructure provisioning issues.
Support security and compliance requirements through policy-as-code and automation.

Qualifications:

Strong proficiency in Python for scripting and automation.
Hands-on experience with Terraform (modules, workspaces, state management, providers).
Knowledge of cloud platforms (AWS, Azure, GCP) and their IaC integrations.
Familiarity with CI/CD pipelines (Jenkins, GitHub Actions, GitLab CI, etc.).
Experience with containerization and orchestration (Docker, Kubernetes) is a plus.
Understanding of networking, security, and system administration fundamentals.
Version control experience with Git/GitHub/GitLab.
Strong problem-solving, debugging, and analytical skills.

Preferred Skills (Nice to Have):

Experience with Ansible, SaltStack, or other configuration management tools.
Knowledge of Vault, Consul, or other HashiCorp tools.
Familiarity with serverless automation frameworks.
Cloud certifications (AWS, Azure, GCP) are a plus"
--------------------,--------------------,--------------------,--------------------
Python Developer,Applicantz,India (Remote),"About the job

Intelligence Node® is a real-time retail intelligence platform that empowers businesses to drive product-level profitability and grow margins using data-driven real-time competitive insights. Intelligence Node's cutting-edge technology leverages AI to aggregate and analyze billions of data points across 1,900 retail categories in 34 global markets. Intelligence Node’s business model provides a comprehensive suite of solutions encompassing product matching, digital shelf analytics, assortment & availability, pricing & promotions, and brand compliance, to aid retailers and brands in all strategic and operational decision-making. Its patented product matching engine and proprietary AI offer 99% data accuracy and 10-second data refresh rates. In December 2024, Intelligence Node was acquired by Interpublic Group (IPG), a global leader in marketing solutions. Joining forces with IPG through this strategic acquisition allows Intelligence Node to deliver a future-ready combined solution to companies navigating the complexities of today's commerce landscape. Together, we can provide the comprehensive data, advanced analytics, and strategic expertise that enterprise brands and retailers need to win market share and drive sustainable growth.




Position Overview:

We are seeking a highly skilled and motivated Python Developer to join our talented engineering team. In this role, you will be responsible for designing, building, and maintaining efficient, reliable, and reusable Python code while working in a fast-paced, innovative environment. You will help optimize performance and quality, identify and resolve bottlenecks and bugs, and contribute to the development of next-gen retail intelligence solutions.




Key Responsibilities:

Design, develop, and maintain high-quality Python code.
Create scripts for data quality, reporting and analysis Identify bottlenecks and bugs, and devise effective solutions.
Create python based tools for automation
Contribute to maintaining code quality, organization, and automation.
Recommend new frameworks, libraries, and algorithms to enhance the tooling capabilities




Required Qualifications & Skills:

Educational Background: Bachelor's Degree in Computer Science, Mathematics, or related field from a top-tier institutions.




Core Skills:

Strong foundation in computer science principles, including algorithms, data structures, and operating systems.
Proficiency in Python programming and solid coding practices.
Experience with unit testing, code reviews, and documentation.
Ability to learn complex systems and new technologies quickly.




Technical Skills:

Experience with NoSQL databases (e.g., MongoDB).
Testing and debugging software applications with Python test framework tools.




Desired Traits:

Excellent analytical and problem-solving skills.
A strong sense of ownership, urgency, and drive.
Strong written and oral communication skills.
Familiarity with agile methodologies and team-based development.
Ability to thrive in a fast-paced, dynamic start-up environment.




Experience:

5 to 8 years of experience in Python development, preferably in high-performance and scalable systems.




Location:

Mumbai, India




Interested candidates please share your updated profile on a.vernekar@intelligencenode.com."
--------------------,--------------------,--------------------,--------------------
Back End Developer,Applicantz,India (Remote),"About the job

Job Title: Backend Developer




Summary:




We are looking for a talented and experienced backend developer to join our team. The ideal candidate will have a strong understanding of Python and related technologies, as well as experience with web frameworks such as Flask or Django. They will also have a working knowledge of both SQL and NoSQL databases.




Responsibilities:




· Design, develop, and maintain backend systems using Python

· Work with front end developers and other developers to build and deploy scalable and reliable web applications

· Troubleshoot and debug applications

In-depth understanding of the Python software development stacks, ecosystems, frameworks and tools such as Numpy, Scipy, Pandas, Dask, spaCy, NLTK, sci-kit-learn and PyTorch and able to conceive and write basic level of algorithms

· Implement security and data protection measures

· Optimize application performance and scalability

· Stay up-to-date on the latest Python technologies and trends




Qualifications:




· Bachelor's degree in Computer Science or a related field

· 2+ years of experience in backend development using Python

· Experience with web frameworks such as Flask or Django

· Working knowledge of both SQL and NoSQL databases

· Experience with cloud platforms such as AWS or Azure

· Strong problem-solving and analytical skills

· Excellent communication and collaboration skills




Bonus Points:




Experience with machine learning or artificial intelligence, Experience with DevOps practices, and Experience with open source software."
--------------------,--------------------,--------------------,--------------------
Frappe Developer,Applicantz,India (Remote),"About the job

Role Overview

We are looking for a motivated and skilled Frappe Developer with 1-3 years of experience to join our technology team. This is a foundational role where you will take ownership of our Frappe/ERPNext instance, which is critical for our IPD operations. The ideal candidate will be responsible for customizing, managing, and integrating our Frappe platform, particularly with our existing OPD system. You will play a key part in shaping a robust and efficient digital infrastructure that directly supports our clinical and administrative teams.

Key Responsibilities

Customization & Development: Design, develop, and manage custom Frappe applications, including creating and modifying DocTypes, custom fields, and forms to meet the specific needs of our IPD services.
API & System Integration: Lead the integration of our Frappe/ERPNext platform with our current OPD system. Develop, test, and maintain robust REST APIs to ensure seamless data flow and a unified patient record system.
System Management: Manage and maintain the health of our Frappe/ERPNext instance, including updates, backups, and performance tuning.
UI/UX Enhancements: Customize the user interface using HTML, CSS, and JavaScript to improve usability and create a more intuitive experience for our clinical and administrative staff.
Scripting & Automation: Write custom server-side and client-side scripts (Python, JavaScript) to automate workflows, implement custom business logic, and enforce validation rules.
Financial Module Support: Assist with the configuration and management of the finance module within ERPNext, ensuring accurate financial reporting and processes related to patient billing.
Collaboration & Documentation: Work closely with our clinical teams to understand their requirements and translate them into technical solutions. Maintain clear and comprehensive documentation for all customizations and integrations.

Requirements & Skills

1-3 years of hands-on experience with the Frappe Framework and ERPNext.
Proficient in Python and JavaScript.
Solid experience in creating custom DocTypes, reports, and print formats in Frappe.
Demonstrable experience with REST API development and third-party system integrations.
Familiarity with front-end technologies (HTML5, CSS3, Jinja templates) for UI customization.
Understanding of the Frappe database schema and ORM.
Basic knowledge of ERPNext's finance module is a significant plus.
Experience with version control systems, particularly Git.
Strong problem-solving skills and the ability to work independently.
Excellent communication skills and a collaborative mindset.
Experience in the healthcare technology sector is a bonus but not required.

Location: Remote"
--------------------,--------------------,--------------------,--------------------
